City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Haicheng,CN,40.8516,122.7475,13.42,71,0,3.83,clear sky
328,Stykkisholmur,IS,65.0757,-22.7297,22.21,87,81,15.75,broken clouds
329,Harper,LR,4.375,-7.7169,80.29,80,0,4.99,clear sky
330,Pundaguitan,PH,6.3711,126.1689,82.8,73,1,6.33,clear sky
331,Kumluca,TR,36.3703,30.2869,62.69,67,19,2.55,few clouds
332,Mildura,AU,-34.2,142.15,95.0,14,0,10.36,clear sky
333,Alice Springs,AU,-23.7,133.8833,93.2,20,40,13.8,scattered clouds
334,Novyy Yarychiv,UA,49.9044,24.3052,30.2,93,75,8.95,broken clouds
335,Mehamn,NO,71.0357,27.8492,16.09,91,2,12.86,clear sky
336,Smithers,CA,54.7804,-127.1743,23.0,93,75,5.75,broken clouds
337,Deputatskiy,RU,69.3,139.9,-19.8,89,100,1.97,overcast clouds
338,Alamosa,US,37.4695,-105.87,12.2,92,1,3.44,clear sky
339,Ballybofey,IE,54.8,-7.7833,31.46,96,88,5.35,overcast clouds
340,Kendari,ID,-3.945,122.4989,85.28,70,99,5.46,overcast clouds
341,Shipunovo,RU,52.1582,82.2173,-4.18,88,97,12.39,overcast clouds
342,Santa Cruz,BO,-17.8,-63.1667,73.4,88,64,6.91,broken clouds
343,Sal Rei,CV,16.1833,-22.9167,71.6,73,40,14.97,scattered clouds
344,Tomatlan,MX,19.9333,-105.25,66.25,80,13,1.63,few clouds
345,Sistranda,NO,63.7256,8.834,26.6,80,40,26.46,scattered clouds
346,Awbari,LY,26.5921,12.7805,70.88,22,0,9.51,clear sky
